dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
compas,sex,RandomForestClassifier,607032,304501,423631,22989,569450,155288,140354,472,93.78,51,33.13,2,909382,607487,597996,371791,302350,302986,174365,348802,33.05,49.88,29.16,93.88,3284.81,3300.65,3301.34,1719.07,12.7,74.22,50.36,,173.32,47.05,42.51,0.26,1196768,,1195992,
compas,sex,SVC,666410,238213,593657,5483,333392,17072,48765,29,49.66,5.9,8.24,0.45,1000000,1000081,1000062,70585,333590,761868,406405,65101,33.36,76.18,40.64,91.98,337.73,808.15,513.22,42.07,6.21,477.22,27.6,,985.57,20.86,95.03,0.62,1501468,,2000124,
compas,sex,Sequential,522846,77478,399933,25885,430104,28703,122398,1130,82.26,37.77,30.6,3.16,817800,527576,537390,562953,294954,450098,137457,537068,36.07,85.87,25.58,94.35,3302.07,3300.44,3301.18,2466.79,13.85,621.26,42.51,2011.71,130.25,8.7,37.08,0.34,1048856,,1074780,
credit,age,DecisionTreeClassifier,709990,564014,724074,11215,704950,509136,450196,1668,99.29,90.27,62.18,14.65,1000000,1000049,1000086,790936,290010,436035,276012,779720,29,43.6,27.6,98.58,222.43,875.74,607.1,217.47,0.5,3.86,1.43,139.18,3281.36,594.29,742.48,7.03,2715595,,6471014.75,
credit,age,LogisticRegression,712570,559012,723248,11511,614046,310421,294454,2533,86.18,55.53,40.71,22.38,1000000,1000012,1000086,1037711,287430,441001,276838,1026200,28.74,44.1,27.68,98.89,212.67,661.07,466.02,169.92,0.63,3.85,1.86,71.41,2895.26,484.1,631.88,16,3115731,,6929630.25,
credit,age,RandomForestClassifier,332350,65860,124863,9695,312362,39246,58303,2407,94.33,58.47,46.69,24.7,486900,117553,172466,946616,154550,51694,47603,936921,31.76,43.98,27.6,98.97,3301.11,3302.54,3301.77,5530.24,27.81,152.62,68.9,2374.58,94.62,11.88,17.66,0.46,1196195,,1214894.5,
credit,age,SVC,773618,550255,644819,3586,593831,347596,240004,275,76.78,63.16,37.2,7.23,1000000,1000066,1000086,178170,226382,449811,355267,174584,22.64,44.98,35.52,97.93,458.36,1263.57,863.44,107.27,2.54,25.65,7.07,,1299.56,284.62,278.24,2.42,3942981,,6991385.5,
credit,age,Sequential,204590,29994,115420,8428,174106,21066,48768,1914,85.1,76.91,42.25,22.5,255800,92204,162219,782786,51210,62209,46798,774358,20.02,75.22,28.85,98.9,3301.48,3303.73,3301.28,6168.82,31.23,265.42,97.12,4088.99,52.74,6.38,14.77,0.35,1065557,,1086045.5,
credit,sex,DecisionTreeClassifier,744722,578861,654886,2494,695833,414060,264244,282,93.31,71.49,40.35,7.85,1000000,1000147,1000086,148237,255278,421286,345200,145743,25.53,42.12,34.52,98.29,167.17,205.17,248.93,16.56,6.35,4.13,2.29,,4162.63,2017.98,1061.55,12.62,1574326,,2000172,
credit,sex,LogisticRegression,705462,544890,716996,16964,409533,130708,139869,1493,58.06,23.99,19.51,8.68,1000000,1000000,1000086,914628,294538,455110,283090,897664,29.45,45.51,28.31,98.14,125.31,149.15,196.85,93.29,0.52,2.51,1.82,61,3269.88,876.35,710.54,15.77,1431028,,2000172,
credit,sex,RandomForestClassifier,595610,335069,422175,16608,536066,148610,114837,1259,90,44.35,27.22,7.76,893167,608671,598092,835887,297556,273602,175917,819279,33.21,44.95,29.41,98.05,3300.9,3300.73,3301.31,2650.4,12.55,44.61,65.2,2120.15,162.4,45.02,34.79,0.46,1172542,,1196184,
credit,sex,SVC,632779,361694,619820,1011,147279,17122,27929,1,23.42,4.68,4.51,0.05,1000000,1000144,1000086,26515,367221,638450,380266,25504,36.72,63.84,38.02,96.24,209.74,286.69,312.66,8.44,18.24,43.45,25.43,,713.07,59.72,89.34,0.07,1661780,,2000172,
credit,sex,Sequential,525650,83720,367141,9070,329834,28968,75727,578,62.75,32.7,20.63,6.43,662800,527266,536544,439994,137150,443546,169403,430924,20.69,84.72,31.57,97.94,3301.4,3300.54,3301.25,2155.09,17.03,217.89,69.23,,99.91,8.78,22.94,0.29,1054860,,1073088,
meps,sex,DecisionTreeClassifier,852428,766181,561794,12514,846436,622996,287184,1136,99.3,81.31,51.12,9.91,1000000,1000019,1000004,911483,147572,233838,438210,898969,14.76,23.38,43.82,98.59,208.18,226.9,262.7,109.04,0.34,3.26,1.17,90.46,4066.33,2745.83,1093.25,10.57,1708292,,2000008,
meps,sex,LogisticRegression,852698,765244,561808,9115,738241,359326,161259,1217,86.58,46.96,28.7,13.73,1000000,1000000,1000004,978913,147302,234756,438196,969798,14.73,23.48,43.82,99.06,168.78,169.81,207.21,80.29,0.37,2.99,1.27,64.69,4374.51,2116.46,778.24,15.52,1708668,,2000008,
meps,sex,RandomForestClassifier,591464,464819,334111,12130,550701,206664,98103,1476,93.11,44.46,29.36,12.15,687967,607228,596434,1057694,96502,142410,262322,1045564,14.02,23.45,43.98,98.85,3301.51,3301.11,3301.81,2434.43,13.57,32.41,82.05,1598.23,166.8,62.6,29.71,0.61,1165310,,1192867,
meps,sex,SVC,819862,760314,504850,6521,327660,94256,56879,209,40.28,12.4,11.27,2.33,1000000,1000077,1000004,413637,180138,239763,495154,407116,18.01,23.97,49.52,98.22,545.21,1474.63,659.78,204.98,4.47,875.06,37.6,,610.86,63.92,86.22,0.76,1819498,,2000008,
meps,sex,Sequential,524127,188872,300487,7970,451414,131608,89868,1130,86.13,77.58,29.91,14.73,602800,522400,534846,1035666,78673,333528,234359,1027695,13.05,64.54,43.82,99.23,3302.94,3301.22,3301.42,3244.68,12.86,37.94,39.02,1513.2,136.67,39.86,27.22,0.45,1048324,,1069691,
,,,620653.15,352612.47,524093.44,11294.65,515796.2,189043.07,195327.56,1631.87,83.79,52.66,36.98,13.99,832950,695108.73,737490.49,564356.67,212296.8,342496.24,213397.04,553061.85,25.34,53.46,28.05,97.12,1562.04,1931.59,1762.45,1502.48,10.72,282.05,43.31,1123.82,1639.25,414.64,394.19,9.28,1914356.29,#DIV/0!,3110893.22,
,,,,,,,1,2.73,2.64,316.08,0,59.12,126.58,498.93,,,,,,,,,,,,,,,,,1,26.31,4.04,104.83,1,3.95,4.16,176.64,,,,
